cod_imovel;x;y
ES-3201407-15EAD36D82EB4ECC99F1A76D03C7447B;278513.77518980193;7735626.083298491
ES-3200201-FDF99CD192824AA29C3C5205EC5529A3;234375.90402087907;7722773.003884634
ES-3205150-77457135F34646869837C44AAF1660BA;334542.169800921;7940288.491473718
ES-3205069-58D9AD655967441E870680840FFA355B;276496.9533711658;7752290.278874882
ES-3201605-2EBA9D0F92534CAA8BA03828704106B5;414150.9119267504;7977493.533342034
ES-3201506-D6662110896F43DBB4BBFD995F8187BC;304632.20077343244;7848567.457873066
ES-3205101-3095669D127942EDA0BE5C4777B63691;338042.33313610416;7750880.671278328
ES-3202207-E20AF1C036374C97BB26C8D36C6A7898;359933.67069949885;7795663.927890735
ES-3204559-A60673CFED0347C1A1F66086463B8548;332001.27147943573;7785823.564031675
ES-3204906-8D02C07AA56746BEAFC5B64A2C6906C1;376347.2399624362;7926986.002215993
ES-3203007-B152005321DA4F68AB68EB12D9D28C40;213698.5716488419;7746157.64090441
ES-3203007-813B150C10FC4650972F2C4B5FA2A582;229463.00963782886;7738187.30113859
ES-3203502-879CFA2B5C7D4DF2AFBE3D5B406F6D88;368284.09998106293;7994802.811818689
ES-3205176-D6FA8A0EB1BB41AD8F4D76B342063315;356951.8516133446;7913382.8779134005
ES-3201308-36163B46F3044D26AA28B1963AB28AF9;347973.0141982766;7759145.78721264
ES-3201407-757EE8BE2F324C8CA5C2CF6C35232BAE;275880.41114297835;7735629.905759277
ES-3202900-405AF5750CCD439A9B31A270EF818EFD;300381.2029466857;7795626.991384365
ES-3205069-8A5D53FFCFDB42D1BDB738172FF494AD;275845.70227913756;7748019.251540756
ES-3202306-CA9DA711A3694690BC56872D0983F3CF;223597.96767468122;7701598.607106552
ES-3205101-5B3B0781F9FE40C2A5C62A53DE752E2C;332817.3437615804;7737074.33335299
ES-3204708-20609024832942B88928AE8E01512EC0;341960.135349729;7908923.688200154
ES-3203403-2F2035E07CF24B6982190244E47C1914;248837.59132732026;7667506.25400382
ES-3201506-97BBAFB11E6B4F48AF3DC5D37B6FFC89;308473.57849942707;7853202.071995083
ES-3204351-6AB41BD4102F4514BAF328C28D9A58A5;357140.5703434912;7877282.926764818
ES-3205036-F6E5E65B0DC94704A14ADB6FE80F68B4;290853.01351095585;7703898.480963429
ES-3203205-4F5EBCB89D1B43A8A478D084CB8168CB;375688.19723988307;7871515.160997704
ES-3204906-801B991E5A314146B2105A45C565E81F;372730.2659917413;7921235.543841744
ES-3203700-826C04B8F6DF465AA60058A2E9C87660;241415.85982805464;7727568.270246135
ES-3203809-997DE73DBDE14F1DA3B955F4BB61C6BC;248651.8248710037;7679657.148827923
ES-3204559-E7541253A1B740D0BAF928FB79A9CF6B;324088.975574897;7784154.002384438
ES-3200102-5557A16B05A9495E919F7AC8623D0377;293295.0767595796;7777066.825002138
ES-3203205-DEBE40E22C914D03A74A0AACD4E0D2CC;392933.41023634083;7844177.36066488
ES-3202454-C74E67C95F884C249DE74602CD530996;241928.61764712987;7763505.35705333
ES-3202454-78DA359690D64C0294A605C200FEF262;233417.73971380357;7753766.695333468
ES-3202603-C67B3EC654FD4390AE1C14AEC270DF5B;313319.2577094885;7703213.980771962
ES-3204906-F521127FBE024118B447C125B2C4F4D8;420579.6995460153;7915526.748702219
ES-3201605-E47E90B1C8DA491189E72388CF263428;419243.5682709614;7966022.1106971
ES-3200300-F7AD64E217DA4FFDAC31F19C3E2E78D7;322632.97116322466;7724696.345972119
ES-3202553-8255FB6FA02A4CE4908FC9A128C3040E;224461.18163034157;7734370.916620166
ES-3204500-BE37CC51E4CD4107852D6E32CD6EC0AA;341023.8779859405;7777407.379973896
ES-3203106-8BD85F11434E4B4E94FC94B4044AC761;251250.73757654236;7696406.283607533
ES-3204104-1C101366D10542638F7255EAB505D965;397486.5702140512;7966593.5588497985
ES-3203353-488694BE5E4E4BA9974F1BAF768CA252;336894.4975936272;7861712.637579173
ES-3200300-CB02FE0B0FF54B8FA38B28AB641F28E4;320012.63709319837;7732697.812438715
ES-3204559-F76D98A1511D496589B072BA8588798A;325403.59951930656;7788980.017975584
ES-3203205-CEAD21B134334A82B0FB1E3B453415F4;418794.4618067165;7843123.152824435
ES-3204609-52433E6D2F254714878C9E7547FAFD9B;342104.32262773305;7797926.973284265
ES-3202207-E7B9065F02ED438E9C1956C3CE9D2A38;348713.8794430705;7798989.243157398
ES-3204609-5D9381A6598742CC800BB8F838EDF116;325342.6322018358;7791620.600092422
ES-3201506-9B9896FFA7B2470D84041708E174FD67;316735.71539048007;7829982.945066474
ES-3204609-032DD6CF0E8B4896AAB4537652CA72EC;324063.1571771456;7806299.759425242
ES-3200102-5C1BCB7218C449EDB39873BA5EEB2F43;286576.6573922486;7767341.881908074
ES-3205002-A6B80CE1D7BD49F19B4C2CF08CA5CE09;352829.1372988475;7777286.759671718
ES-3204500-28D8A8BF083E4D5199D1E0A9030B452A;345473.9072448575;7773978.673886666
ES-3205150-8E2541B112A0460CA3204FDD4A2E6E7D;333180.16395116295;7941311.289226174
ES-3204401-359FB4BC489A4E79A269DA9231A1F7E1;295133.0792309209;7697703.451569365
ES-3202256-CC60513A299E44D4B0F8A4EECE93C21E;351049.73292741214;7878075.187483881
ES-3205150-E1FF5EF4E949431C9CA7E39821655C70;328725.36812078126;7941019.269553895
ES-3200102-F614A1FEBDBF4CDBB488F8B00081B967;279153.0470847504;7777216.084058447
ES-3205150-C749953929F64BB092BB59A71B12806D;322958.97109387186;7939720.420996791
ES-3200300-9F50585FB8ED4CF794D1D90008C6AB4B;308693.0624915253;7729264.368886296
ES-3204807-ECD4876F5F864FA8AF0511C2B6C684B3;230634.9406208442;7685619.116238492
ES-3202702-511027C289D448EABA87281483976D01;307193.07294650073;7802927.965009454
ES-3200300-1C71AA269B6F41C1B898235A45716269;303948.2113224962;7735577.350866505
ES-3200300-83CE9EF89F8745F9ABB1D9E85AC752F2;310646.1824798753;7718541.017813166
ES-3201308-B5C892EF333B43C6A6A69E89083D1A35;346524.8433173668;7761738.556870449
ES-3204252-1B44EA2178BE4A2E9BF5CFCD37483A21;341420.23534273566;7985451.616645516
ES-3204559-8B143F242ABF4AAC860A9758F1A92AAD;307846.2458305287;7773288.332924239
ES-3201308-869C4325E04446D8B6B52D903B9648E5;346792.89056328114;7758696.9692398105
